,mean,region,std
0,6331.45095508601,Middle East & North Africa,186.1923705623377
1,6173.2024907848345,South Asia,172.14817455110847
2,-903.6149224524081,South America,0.3107958305214095
3,-561.3770354666165,Western Europe,0.32617140699950686
4,1694.6071932333602,Sub-Saharan Africa,0.32389162596661725
5,1278.3466006321282,Southeast Asia,0.3226123861526632
6,-583.0563557781959,Central America & Caribbean,0.33441273897624657
7,505.6433864930955,Eastern Europe,0.32573888497842735
8,-180.43342291005862,North America,0.3196861395809538
9,-45.49500331728512,East Asia,0.33629073414200567
10,-55.280743337508405,Central Asia,0.41127711895302554
11,1.5177175150692612,Australasia & Oceania,0.37170465559861604
